time,timestamp_received,timestamp,trip,signal,isLive,Battery_voltage,0313,0314,Fuel_level,Intake_manifold_absolute_pressure,Throttle_position,Accelerator_pedal_position,Coolant_temperature,Vehicle_Speed,Engine_speed,Target_air_fuel_ratio,033d,0345,0348,Current_gear_shift_position_(Current_gear),Cumulative_mileage,Clutch_torque,Trip_fuel_consumption,0409,040a,RON_factor,altitude,latitude,longitude,satelites,bearing,angular_speed,slope
526.0,2024-08-18 06:42:27,2024-08-18 06:41:59,3.0,0.0,True,13.5,97.0,32.0,90.588,46.0,9.561,0.0,33.0,0.0,1326.25,0.0,300.0,3.0,24.0,1.0,9203.148,30.938,4226.625,0.881,28.0,0.528,0.0,0.0,0.0,0.0,244.91,0.002198688,0.0
1526.0,2024-08-18 06:42:27,2024-08-18 06:41:59,3.0,0.0,True,13.3,97.0,32.0,90.98,77.0,20.129,0.0,33.0,0.0,969.0,12.0,300.0,3.0,24.0,1.0,9203.148,61.5,4752.906,1.688,25.0,0.528,0.0,0.0,0.0,0.0,244.91,0.0,0.0
2526.0,2024-08-18 06:42:27,2024-08-18 06:41:59,3.0,0.0,True,13.4,97.0,32.0,96.471,69.0,13.594,0.0,33.0,0.0,1189.75,11.7,300.0,3.0,24.0,1.0,9203.148,52.312,6012.969,1.055,26.0,0.528,0.0,0.0,0.0,0.0,244.91,0.0,0.0
3526.0,2024-08-18 07:04:14,2024-08-18 06:42:02,3.0,0.0,False,13.4,97.0,32.0,91.765,70.0,14.787,0.0,33.0,0.0,1180.0,12.2,300.0,3.0,24.0,1.0,9203.148,54.125,7195.484,1.142,25.875,0.528,0.0,0.0,0.0,0.0,244.91,0.0,0.0
4526.0,2024-08-18 07:04:14,2024-08-18 06:42:02,3.0,0.0,False,13.4,97.0,32.0,94.118,68.0,14.727,0.0,34.0,0.0,1209.5,12.5,300.0,3.0,24.0,1.0,9203.148,50.625,8201.125,1.072,25.938,0.528,0.0,0.0,0.0,0.0,244.91,0.0,0.0
5526.0,2024-08-18 07:04:14,2024-08-18 06:42:02,3.0,0.0,False,13.5,97.0,32.0,93.725,66.0,13.525,0.0,34.0,0.0,1250.25,12.8,306.0,3.0,24.0,1.0,9203.148,46.875,9244.406,0.988,26.125,0.528,0.0,0.0,0.0,0.0,244.91,0.0,0.0
6526.0,2024-08-18 07:04:15,2024-08-18 06:42:05,3.0,0.0,False,13.4,97.0,32.0,89.804,65.0,13.734,0.0,34.0,0.0,1257.0,13.1,312.0,3.0,24.0,1.0,9203.148,46.188,10410.656,1.045,26.125,0.528,0.0,0.0,0.0,0.0,244.91,0.0,0.0
7526.0,2024-08-18 07:04:15,2024-08-18 06:42:05,3.0,0.0,False,13.7,97.0,32.0,85.49,63.0,12.908,0.0,34.0,3.0,1264.5,13.2,315.0,3.0,24.0,1.0,9203.152,44.688,11301.156,0.949,26.375,0.528,0.0,0.0,0.0,0.0,244.91,0.0,0.0
8526.0,2024-08-18 07:04:15,2024-08-18 06:42:05,3.0,0.0,False,13.5,97.0,32.0,98.824,66.0,13.691,0.0,34.0,3.0,1253.25,13.5,321.0,3.0,24.0,1.0,9203.152,46.438,12306.812,1.004,26.062,0.528,0.0,0.0,0.0,0.0,244.91,0.0,0.0
9526.0,2024-08-18 07:04:17,2024-08-18 06:42:08,3.0,0.0,False,13.6,97.0,32.0,96.471,60.0,11.623,0.0,34.0,4.0,1232.25,13.7,327.0,3.0,24.0,1.0,9203.152,38.188,13310.172,0.845,26.5,0.528,0.0,0.0,0.0,0.0,244.91,0.0,0.0
