Time,Battery_voltage,Starter_status,Brake_light_status,Brake_switch_status,Electrical_load_2_status,Electrical_load_1_status,Power_steering_switch_status,Air_conditioner_pressure_status,Air_conditioner_request,Fuel_level,Atmospheric_pressure_(Ambient_Pressure),Intake_manifold_absolute_pressure,Throttle_position,Accelerator_pedal_position,Coolant_temperature,No.4_cylinder_total_knock_retreat_angle|knck_iga_tot_rtd_cyl4,No.3_cylinder_total_knock_retreat_angle+M35|knck_iga_tot_rtd_cyl3,No.2_cylinder_total_knock_retreat_angle|knck_iga_tot_rtd_cyl2,No.1_cylinder_total_knock_retreat_angle|knck_iga_tot_rtd_cyl1,Vehicle_Speed,Engine_speed,Short_term_fuel_correction_factor,Fuel_correction_zone,Long_term_fuel_correction_factor,Target_air_fuel_ratio_(to_stoichiometric_ratio),Ignition_advance_angle,Cruise_work_light_sign,Cruise_ready_light_flag,Fan_2_status_flag,Fan_1_status_flag,SVS_light_flag,Oil_pump_enable_flag,Air_conditioning_clutch_flag,Check_light_flag,N/A,N/A.1,N/A.2,N/A.3,N/A.4,Compressor_release_valve_enable,Canister_ventilation_valve_enable,Starter_relay_flag,Idle_control_status,Current_gear_shift_position_(Gear_State),Intake_flow,Charger_pressure_setpoint,Cumulative_mileage,Idle_speed,Stroke_flow_percent,Clutch_torque_(Engine_Torque),Trip_fuel_consumption,Average_fuel_consumption_rate,Fuel_Quality_RON_factor,DTC,correct_altitude,slope
934701924.0,12.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,99.60784314,86.71586716,51.0,6.208984375,0.0,89.0,0.0,0.0,0.0,0.0,2.0,793.75,1.0,19.0,0.9375,14.1,-7.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.4921875,255.9375,2806.253906,-1.5625,28.34472656,10.1875,2253.859375,0.3125,0.440063477,0.0,0,0.0
934702556.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,99.60784314,86.71586716,54.0,6.787109375,0.0,89.0,0.0,0.0,0.0,0.0,2.0,766.75,1.0,19.0,0.9375,14.1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,3.6171875,255.9375,2806.253906,-1.5625,30.17578125,15.75,2446.515625,0.317382813,0.440063477,0.0,0,0.0
934703189.0,13.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,100.0,86.71586716,59.0,7.31640625,0.0,89.0,0.0,0.0,0.0,0.0,2.0,751.25,1.0,19.0,0.9375,14.1,-7.5,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.8671875,255.9375,2806.253906,-1.5625,32.82470703,13.4375,2654.546875,0.361328125,0.440063477,0.0,0,0.0
934703815.0,13.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,98.43137255,86.71586716,57.0,6.73046875,0.0,89.0,0.0,0.0,0.0,0.0,2.0,749.5,1.0,19.0,0.9375,14.1,-10.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.7578125,255.9375,2806.253906,-1.5625,31.92138672,15.3125,2879.875,0.348632813,0.440063477,0.0,0,0.0
934704448.0,13.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,99.60784314,86.71586716,54.0,5.837890625,0.0,89.0,0.0,0.0,0.0,0.0,2.0,738.25,1.0,19.0,0.9375,14.1,-6.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,3.4453125,255.9375,2806.253906,-1.5625,29.66308594,14.375,3086.34375,0.293945313,0.440063477,0.0,0,0.0
934705073.0,13.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,99.60784314,86.71586716,53.0,6.09375,0.0,89.0,0.0,0.0,0.0,0.0,2.0,761.25,1.0,19.0,0.9375,14.1,-2.5,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,3.4921875,255.9375,2806.253906,-1.5625,29.17480469,15.0625,3264.953125,0.30078125,0.440063477,0.0,0,0.0
934705706.0,13.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,86.71586716,77.0,5.984375,0.0,88.0,0.0,0.0,0.0,0.0,2.0,814.5,1.0,19.0,0.9375,14.1,3.5,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,5.7734375,255.9375,2806.253906,-1.5625,45.19042969,31.375,3462.703125,0.428710938,0.440063477,0.0,0,0.0
934706339.0,13.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,98.82352941,86.71586716,75.0,9.046875,0.0,88.0,0.0,0.0,0.0,0.0,3.0,804.0,1.0,19.0,0.9375,14.1,-8.5,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,5.484375,255.9375,2806.253906,10.9375,43.96972656,31.4375,3813.84375,0.5234375,0.440063477,0.0,0,0.0
934706964.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,86.71586716,73.0,11.61132813,0.0,88.0,0.0,0.0,0.0,0.0,2.0,848.5,1.0,19.0,0.9375,14.1,-7.5,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,5.625,255.9375,2806.257813,10.9375,42.23632813,29.5,4157.578125,0.541015625,0.440063477,0.0,0,0.0
934707597.0,13.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,100.0,86.71586716,74.0,10.76953125,0.0,88.0,0.0,0.0,0.0,0.0,3.0,835.0,1.0,19.0,0.9375,14.1,-8.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,5.65625,255.9375,2806.257813,10.9375,43.01757813,31.3125,4495.71875,0.52734375,0.440063477,0.0,0,0.0
