Time,Battery_voltage,Starter_status,Brake_light_status,Brake_switch_status,Electrical_load_2_status,Electrical_load_1_status,Power_steering_switch_status,Air_conditioner_pressure_status,Air_conditioner_request,Fuel_level,Atmospheric_pressure_(Ambient_Pressure),Intake_manifold_absolute_pressure,Throttle_position,Accelerator_pedal_position,Coolant_temperature,No.4_cylinder_total_knock_retreat_angle|knck_iga_tot_rtd_cyl4,No.3_cylinder_total_knock_retreat_angle+M35|knck_iga_tot_rtd_cyl3,No.2_cylinder_total_knock_retreat_angle|knck_iga_tot_rtd_cyl2,No.1_cylinder_total_knock_retreat_angle|knck_iga_tot_rtd_cyl1,Vehicle_Speed,Engine_speed,Short_term_fuel_correction_factor,Long_term_fuel_correction_factor,Target_air_fuel_ratio_(to_stoichiometric_ratio),Ignition_advance_angle,Cruise_work_light_sign,Cruise_ready_light_flag,Fan_2_status_flag,Fan_1_status_flag,SVS_light_flag,Oil_pump_enable_flag,Air_conditioning_clutch_flag,Check_light_flag,N/A,N/A.1,N/A.2,N/A.3,N/A.4,Compressor_release_valve_enable,Canister_ventilation_valve_enable,Starter_relay_flag,Current_gear_shift_position_(Gear_State),Intake_flow,Charger_pressure_setpoint,Cumulative_mileage,Idle_speed,Stroke_flow_percent,Clutch_torque_(Engine_Torque),Trip_fuel_consumption,Average_fuel_consumption_rate,Fuel_Quality_RON_factor,DTC
17591351.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.33333333,88.9298893,26.0,6.2890625,0.0,87.0,0.0,0.0,0.0,0.0,19.0,1269.0,0.921875,0.9375,14.5,9.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.984375,255.9375,8532.277344,-0.78125,19.32373047,-2.8125,341854.2969,0.349609375,0.0,0.0
17591804.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.09803922,88.9298893,38.0,7.283203125,12.33825684,86.0,0.0,0.0,0.0,0.0,19.0,1278.25,0.9375,0.984375,14.5,31.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.1484375,255.9375,8532.28125,2.34375,29.37011719,26.9375,342013.4375,0.431640625,0.0,0.0
17592250.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.52941176,88.9298893,53.0,10.16992188,28.70483398,87.0,0.0,0.0,0.0,0.0,19.0,1313.0,0.9375,1.0625,14.5,23.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.6796875,255.9375,8532.28125,2.34375,42.79785156,50.625,342261.0938,0.88671875,0.0,0.0
17592695.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.17647059,88.9298893,50.0,12.77929688,31.33239746,87.0,0.0,0.0,0.0,0.0,20.0,1364.5,0.953125,1.0625,14.5,25.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.265625,255.9375,8532.285156,2.34375,37.08496094,39.3125,342700.0,0.915039063,0.0,0.0
17593150.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.1372549,88.9298893,31.0,6.326171875,9.228515625,87.0,0.0,0.0,0.0,0.0,21.0,1386.75,0.953125,1.03125,14.5,34.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.484375,255.9375,8532.289063,2.34375,22.14355469,13.25,343000.6875,0.428710938,0.0,0.0
17593594.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.37254902,88.9298893,26.0,6.208984375,5.258178711,87.0,0.0,0.0,0.0,0.0,21.0,1380.0,0.9296875,0.984375,14.5,35.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.59375,255.9375,8532.289063,2.34375,18.95751953,7.75,343175.7656,0.357421875,0.0,0.0
17594041.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.29411765,88.9298893,25.0,5.998046875,2.777099609,87.0,0.0,0.0,0.0,0.0,21.0,1371.0,0.9296875,0.984375,14.5,35.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.3515625,255.9375,8532.289063,2.34375,18.38378906,6.4375,343330.3594,0.365234375,0.0,0.0
17594486.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.68627451,88.9298893,26.0,5.763671875,2.474975586,86.0,0.0,0.0,0.0,0.0,20.0,1354.25,0.9296875,0.984375,14.5,35.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.3203125,255.9375,8532.292969,2.34375,19.16503906,7.875,343499.9844,0.35546875,0.0,0.0
17594938.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.70588235,88.9298893,29.0,6.884765625,10.63232422,86.0,0.0,0.0,0.0,0.0,20.0,1346.75,0.9296875,0.984375,14.5,34.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0859375,255.9375,8532.296875,2.34375,22.13134766,13.3125,343655.5313,0.36328125,0.0,0.0
17595384.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.09803922,88.9298893,29.0,7.595703125,10.36376953,87.0,0.0,0.0,0.0,0.0,20.0,1327.25,0.921875,0.984375,14.5,34.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.9140625,255.9375,8532.300781,2.34375,21.25244141,11.1875,343825.0938,0.375,0.0,0.0
17595869.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.98039216,88.9298893,27.0,6.25,6.024169922,87.0,0.0,0.0,0.0,0.0,20.0,1311.5,0.921875,0.984375,14.5,35.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.546875,255.9375,8532.300781,2.34375,19.60449219,7.5625,343990.6719,0.361328125,0.0,0.0
17596314.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.98039216,88.9298893,26.0,5.0,0.0,87.0,0.0,0.0,0.0,0.0,20.0,1255.25,0.9296875,0.9375,14.5,11.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.921875,255.9375,8532.304688,2.34375,18.45703125,-1.3125,344165.5625,0.380859375,0.0,0.0
17596759.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.25490196,88.9298893,28.0,6.5234375,0.0,87.0,0.0,0.0,0.0,0.0,19.0,1256.5,0.953125,0.9375,14.5,10.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.4609375,255.9375,8532.308594,1.5625,20.64208984,-1.25,344319.9063,0.323242188,0.0,0.0
17597205.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.01960784,88.9298893,27.0,6.46484375,0.0,87.0,0.0,0.0,0.0,0.0,19.0,1239.0,0.9453125,0.9375,14.5,9.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.328125,255.9375,8532.308594,0.78125,19.93408203,-2.875,344467.9219,0.327148438,0.0,0.0
17597659.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.03921569,88.9298893,30.0,6.095703125,0.0,87.0,0.0,0.0,0.0,0.0,18.0,1268.5,0.9453125,0.984375,14.5,33.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.203125,255.9375,8532.3125,1.5625,24.58496094,15.875,344610.375,0.370117188,0.0,0.0
17598104.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.49019608,88.9298893,51.0,11.27929688,24.15466309,87.0,0.0,0.0,0.0,0.0,18.0,1288.0,0.953125,1.015625,14.5,24.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.9609375,255.9375,8532.3125,2.34375,40.79589844,46.375,344830.25,0.728515625,0.0,0.0
17598550.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.21568627,88.9298893,57.0,11.27929688,33.44116211,86.0,0.0,0.0,0.0,0.0,19.0,1346.75,0.953125,1.0625,14.5,21.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.515625,255.9375,8532.316406,2.34375,45.5078125,56.0,345201.1563,1.041992188,0.0,0.0
17599003.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.21568627,88.9298893,50.0,10.67382813,25.07629395,87.0,0.0,0.0,0.0,0.0,20.0,1379.75,0.9609375,1.0625,14.5,26.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.2109375,255.9375,8532.316406,2.34375,37.04833984,40.875,345616.9063,0.802734375,0.0,0.0
17599448.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.09803922,88.9298893,52.0,9.490234375,20.43151855,87.0,0.0,0.0,0.0,0.0,20.0,1413.0,0.9609375,1.0625,14.5,25.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.8203125,255.9375,8532.320313,2.34375,42.49267578,52.5,345940.0938,0.826171875,0.0,0.0
17599894.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.90196078,88.9298893,43.0,10.77148438,21.92077637,87.0,0.0,0.0,0.0,0.0,22.0,1413.5,0.96875,1.0625,14.5,29.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.984375,255.9375,8532.324219,2.34375,32.33642578,32.9375,346345.6406,0.7109375,0.0,0.0
17600347.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.78431373,88.9298893,29.0,10.62890625,21.46606445,87.0,0.0,0.0,0.0,0.0,22.0,1464.0,0.9765625,1.046875,14.5,22.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.5,255.9375,8532.328125,2.34375,19.68994141,6.75,346658.1406,0.513671875,0.0,0.0
17600808.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.96078431,88.9298893,18.0,5.57421875,0.0,87.0,0.0,0.0,0.0,0.0,22.0,1467.5,0.9765625,0.9375,14.5,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.9296875,255.9375,8532.328125,2.34375,18.48144531,-2.0,346856.0,0.393554688,0.0,0.0
